"Gene Symbol","MGI Gene Id","# Phenotype Hits","Phenotype Hits"
"Dpp3","MGI:1922471","2","decreased circulating total protein level::abnormal optic disk morphology"
"Dpp4","MGI:94919","3","improved glucose tolerance::decreased lymphocyte cell number::abnormal auditory brainstem response"
"Pdha2","MGI:97533","1","abnormal spleen morphology"
"Dpp8","MGI:1921638","12","decreased heart rate::prolonged RR interval::decreased vertical activity::decreased bone mineral content::impaired glucose tolerance::decreased circulating calcium level::decreased heart weight::decreased bone mineral density::abnormal bone structure::decreased lean body mass::increased total body fat amount::abnormal auditory brainstem response"
"Dpp9","MGI:2443967","6","increased thigmotaxis::preweaning lethality, complete penetrance::increased circulating iron level::abnormal behavior::increased anxiety-related response::abnormal lens morphology"
"Cyp11a1","MGI:88582","1","preweaning lethality, complete penetrance"
"Alg13","MGI:1914824","8","hypoplasia/Uterus - MPATH process term::decreased bone mineral content::hypoplasia/Ovary - MPATH process term::process of degenerative change/Testes - MPATH process term::decreased bone mineral density::decreased lean body mass::increased leukocyte cell number::increased total body fat amount"
"Alg14","MGI:1914039","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
"Alg11","MGI:2142632","3","preweaning lethality, complete penetrance::decreased grip strength::embryonic lethality prior to organogenesis"
"Lrrc71","MGI:1921735","1","male infertility"
"Slc9a1","MGI:102462","2","polycystic kidney::male infertility"
"Slc9a4","MGI:105074","7","increased circulating cholesterol level::decreased bone mineral content::decreased prepulse inhibition::decreased startle reflex::decreased bone mineral density::abnormal bone structure::metaplasia/Stomach - MPATH process term"
"Slc9a5","MGI:2685542","1","decreased mean corpuscular hemoglobin concentration"
"Opn3","MGI:1338022","2","decreased leukocyte cell number::abnormal eye morphology"
"Slc9a3","MGI:105064","1","increased circulating calcium level"
"Slc9a9","MGI:2679732","2","increased grip strength::increased circulating HDL cholesterol level"
"Lrrc4b","MGI:3027390","9","increased thigmotaxis::increased hematocrit::decreased locomotor activity::abnormal behavior::increased vertical activity::increased anxiety-related response::abnormal bone structure::decreased grip strength::preweaning lethality, incomplete penetrance"
"A2ml1","MGI:3039594","3","abnormal spleen morphology::abnormal sternum morphology::preweaning lethality, incomplete penetrance"
"Espn","MGI:1861630","1","lipid deposition/Liver - MPATH process term"
"Esr2","MGI:109392","8","increased circulating serum albumin level::decreased leukocyte cell number::decreased bone mineral content::decreased lymphocyte cell number::decreased bone mineral density::thin ventricular wall::decreased lean body mass::increased total body fat amount"
"Hk3","MGI:2670962","4","cataract::abnormal skin morphology::enlarged lymph nodes::small adrenal glands"
"Calcoco2","MGI:1343177","1","abnormal pelvic girdle bone morphology"
"Zfp763","MGI:1920701","1","increased circulating glycerol level"
"Calcoco1","MGI:1914738","8","enlarged urinary bladder::cataract::enlarged kidney::abnormal locomotor behavior::abnormal retina morphology::decreased circulating phosphate level::abnormal startle reflex::decreased circulating total protein level"
"Cab39l","MGI:1914081","2","enlarged heart::decreased mean corpuscular volume"
"Slc9b1","MGI:1921696","12","enlarged liver::enlarged spleen::abnormal liver morphology::abnormal spleen morphology::abnormal kidney morphology::enlarged heart::small kidney::enlarged lymph nodes::abnormal skin morphology::abnormal heart morphology::abnormal lymph node morphology::small heart"
"Psph","MGI:97788","16","preweaning lethality, complete penetrance::edema::microphthalmia::cardiovascular system phenotype::abnormal eye morphology::thrombocytopenia::pale yolk sac::anophthalmia::small adrenal glands::increased heart rate variability::abnormal embryo size::abnormal craniofacial morphology::pale placenta::decreased circulating triglyceride level::pallor::abnormal heart morphology"
"Slc9b2","MGI:2140077","1","short tibia"
"Lypd6b","MGI:1919147","3","decreased circulating serum albumin level::increased blood urea nitrogen level::decreased circulating phosphate level"
"Grem2","MGI:1344367","4","increased cardiac stroke volume::dilated heart left ventricle::preweaning lethality, incomplete penetrance::increased cardiac output"
"Npy5r","MGI:108082","4","increased circulating alkaline phosphatase level::increased circulating HDL cholesterol level::decreased lean body mass::increased total body fat amount"
"Tgif2","MGI:1915299","2","preweaning lethality, complete penetrance::decreased circulating calcium level"
"Hjv","MGI:1916835","5","decreased thigmotaxis::increased hemoglobin content::increased mean corpuscular hemoglobin::increased circulating iron level::increased prepulse inhibition"
"Rasal2","MGI:2443881","3","abnormal coat appearance::abnormal hair growth::absent pinna reflex"
"Anks3","MGI:1919865","1","preweaning lethality, complete penetrance"
"Anks1","MGI:2446180","5","decreased thigmotaxis::increased bone mineral content::thin ventricular wall::increased bone mineral density::preweaning lethality, incomplete penetrance"
"Rasal3","MGI:2444128","8","increased circulating cholesterol level::decreased circulating creatinine level::increased circulating triglyceride level::abnormal eye anterior chamber depth::decreased lymphocyte cell number::short tibia::increased eosinophil cell number::decreased body length"
"Urb1","MGI:2146468","3","preweaning lethality, complete penetrance::increased thigmotaxis::embryonic lethality prior to organogenesis"
"Anks6","MGI:1922941","1","preweaning lethality, complete penetrance"
"Sidt1","MGI:2443155","2","abnormal liver morphology::abnormal lymph node morphology"
"Mindy1","MGI:1922257","8","abnormal spine curvature::decreased thigmotaxis::hyperactivity::increased bone mineral content::decreased locomotor activity::abnormal behavior::long tibia::corneal opacity"
"Mindy2","MGI:2443086","2","decreased heart rate::prolonged RR interval"
"Mindy4","MGI:3583959","1","abnormal locomotor behavior"
"Sidt2","MGI:2446134","10","thrombocytosis::decreased circulating LDL cholesterol level::decreased circulating cholesterol level::decreased circulating HDL cholesterol level::decreased circulating iron level::decreased circulating glycerol level::decreased circulating calcium level::increased circulating amylase level::increased circulating aspartate transaminase level::decreased circulating total protein level"
"Gtf3c1","MGI:107887","1","preweaning lethality, complete penetrance"
"Dppa1","MGI:2157522","9","increased food intake::preweaning lethality, complete penetrance::abnormal spleen morphology::abnormal pericardium morphology::abnormal embryo turning::increased lean body mass::increased respiratory quotient::increased bone mineral density::embryonic lethality prior to organogenesis"
"Hoxa2","MGI:96174","8","preweaning lethality, complete penetrance::decreased circulating creatinine level::abnormal snout morphology::abnormal gait::improved glucose tolerance::decreased prepulse inhibition::decreased respiratory quotient::abnormal auditory brainstem response"
"Cep290","MGI:2384917","7","abnormal facial morphology::decreased mean corpuscular hemoglobin::abnormal head shape::decreased mean corpuscular hemoglobin concentration::no spontaneous movement::preweaning lethality, incomplete penetrance::hemorrhage"
"Hoxa4","MGI:96176","5","small liver::abnormal liver morphology::abnormal kidney morphology::small kidney::abnormal uterus morphology"
"Dact3","MGI:3654828","3","decreased circulating serum albumin level::improved glucose tolerance::increased lean body mass"
"Dact2","MGI:1920347","7","abnormal skin coloration::abnormal eye anterior chamber depth::abnormal spleen morphology::increased mean corpuscular volume::abnormal coat/ hair morphology::preweaning lethality, incomplete penetrance::abnormal skin morphology"
"Clstn1","MGI:1929895","5","increased mean corpuscular volume::decreased bone mineral content::increased hematocrit::persistence of hyaloid vascular system::increased basophil cell number"
"Clstn2","MGI:1929897","1","increased vertical activity"
"Clstn3","MGI:2178323","5","abnormal gait::increased kidney weight::tremors::decreased spleen weight::abnormal lung morphology"
"Kics2","MGI:2670984","4","decreased circulating cholesterol level::decreased circulating HDL cholesterol level::increased blood urea nitrogen level::decreased circulating phosphate level"
"Spidr","MGI:1924834","8","female infertility::decreased bone mineral content::abnormal eye posterior chamber depth::decreased bone mineral density::decreased lean body mass::male infertility::increased total body fat amount::abnormal optic disk morphology"
"Tor1aip1","MGI:3582693","1","preweaning lethality, complete penetrance"
"Lgi3","MGI:2182619","6","enlarged spleen::abnormal spleen morphology::abnormal kidney morphology::thick skin::enlarged kidney::abnormal skin morphology"
"Ablim2","MGI:2385758","1","decreased grip strength"
"Mapkapk3","MGI:2143163","7","abnormal thymus morphology::enlarged spleen::abnormal spleen morphology::enlarged heart::enlarged thymus::abnormal skin morphology::abnormal heart morphology"
"Mapkapk2","MGI:109298","8","abnormal joint morphology::abnormal clavicle morphology::increased large unstained cell number::increased eosinophil cell number::abnormal bone structure::increased circulating glucose level::increased leukocyte cell number::abnormal optic disk morphology"
"Lgi4","MGI:2180197","4","preweaning lethality, complete penetrance::decreased thigmotaxis::hyperactivity::abnormal behavior"
"Cttnbp2nl","MGI:1933137","4","increased startle reflex::increased blood urea nitrogen level::decreased anxiety-related response::decreased grip strength"
"Ablim3","MGI:2442582","6","decreased basophil cell number::anophthalmia::increased hematocrit::increased freezing behavior::decreased exploration in new environment::enlarged lymph nodes"
"Ackr3","MGI:109562","5","preweaning lethality, complete penetrance::increased mean corpuscular hemoglobin concentration::tremors::decreased total retina thickness::decreased grip strength"
"Npy2r","MGI:108418","4","enlarged spleen::abnormal locomotor behavior::increased spleen weight::decreased bone mineral density"
"Sugt1","MGI:1915205","4","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::embryonic lethality prior to organogenesis::decreased body length"
"Lrrc8a","MGI:2652847","8","abnormal craniofacial morphology::preweaning lethality, complete penetrance::edema::abnormal eye morphology::anophthalmia::enlarged lung::abnormal lung morphology::abnormal embryo size"
"Lrrc8c","MGI:2140839","8","decreased circulating creatinine level::decreased circulating serum albumin level::abnormal spleen morphology::abnormal eye morphology::abnormal testis morphology::decreased circulating calcium level::small testis::preweaning lethality, incomplete penetrance"
"Mapkapk5","MGI:1333110","1","preweaning lethality, incomplete penetrance"
"Lrrc8d","MGI:1922368","1","increased circulating alkaline phosphatase level"
"Aloxe3","MGI:1345140","6","preweaning lethality, complete penetrance::abnormal spleen morphology::microphthalmia::small spleen::enlarged lymph nodes::abnormal lymph node morphology"
"Hmox1","MGI:96163","9","abnormal craniofacial morphology::preweaning lethality, complete penetrance::abnormal facial morphology::abnormal placenta morphology::microphthalmia::embryonic growth retardation::abnormal head shape::abnormal placenta size::preweaning lethality, incomplete penetrance"
"Entr1","MGI:1915362","16","enlarged urinary bladder::abnormal liver morphology::abnormal ovary morphology::increased circulating total protein level::abnormal testis morphology::abnormal seminal vesicle morphology::small testis::increased circulating calcium level::enlarged ovary::preweaning lethality, incomplete penetrance::abnormal skin morphology::abnormal urinary bladder morphology::increased circulating cholesterol level::enlarged heart::small seminal vesicle::abnormal heart morphology"
"Sla2","MGI:1925049","9","increased circulating cholesterol level::abnormal cranium morphology::decreased body weight::increased circulating HDL cholesterol level::increased circulating total protein level::enhanced cued conditioning behavior::increased freezing behavior::abnormal skin morphology::decreased NK cell number"
"Hmox2","MGI:109373","5","increased red blood cell distribution width::abnormal gait::enlarged heart::decreased monocyte cell number::increased spleen weight"
"Catsper3","MGI:1924106","5","abnormal eye morphology::decreased pulmonary ventilation::abnormal adrenal gland morphology::male infertility::enlarged adrenal glands"
"Zfp711","MGI:3045342","1","increased grip strength"
"Crmp1","MGI:107793","7","enlarged spleen::abnormal spleen morphology::cataract::abnormal kidney morphology::small kidney::abnormal vitreous body morphology::abnormal skin morphology"
"Zfp719","MGI:2444708","2","absent pinna reflex::abnormal auditory brainstem response"
"Prom2","MGI:2138997","12","increased mean corpuscular hemoglobin concentration::hyperactivity::increased hemoglobin content::decreased circulating iron level::increased circulating alanine transaminase level::decreased circulating calcium level::abnormal retina morphology::abnormal sleep behavior::abnormal nail morphology::decreased grip strength::increased circulating aspartate transaminase level::increased circulating potassium level"
"Nutf2","MGI:1915301","4","preweaning lethality, complete penetrance::decreased heart rate::cataract::abnormal lens morphology"
"Zfp706","MGI:1915286","1","preweaning lethality, incomplete penetrance"
"Acmsd","MGI:2386323","3","decreased circulating bilirubin level::increased bone mineral density::increased mean platelet volume"
"Cspp1","MGI:2681832","2","decreased circulating creatinine level::decreased bone mineral content"
"1700069L16Rik","MGI:1920726","4","abnormal thymus morphology::abnormal liver morphology::enlarged thymus::increased total body fat amount"
"Adprm","MGI:1913608","7","decreased thigmotaxis::hyperactivity::decreased startle reflex::abnormal behavior::decreased locomotor activity::decreased anxiety-related response::decreased respiratory quotient"
"Adprs","MGI:2140364","6","increased circulating alkaline phosphatase level::increased body length::increased bone mineral content::decreased total body fat amount::increased lean body mass::increased bone mineral density"
"Uri1","MGI:1342294","1","increased fasting circulating glucose level"
"Grtp1","MGI:1914040","4","microphthalmia::increased circulating alanine transaminase level::small seminal vesicle::increased circulating aspartate transaminase level"
"Lgmn","MGI:1330838","3","short tibia::decreased prepulse inhibition::decreased body length"
"Scrib","MGI:2145950","12","preweaning lethality, complete penetrance::abnormal craniofacial morphology::increased circulating triglyceride level::abnormal neural tube closure::embryonic growth retardation::abnormal eye morphology::pale yolk sac::abnormal midbrain morphology::abnormal placenta size::abnormal pericardium morphology::abnormal hindbrain morphology::abnormal embryo size"
"Catsperz","MGI:1914327","4","increased heart weight::decreased bone mineral content::mydriasis::decreased bone mineral density"
"Toe1","MGI:1915526","4","limb grasping::preweaning lethality, complete penetrance::decreased urine magnesium level::embryonic lethality prior to organogenesis"
"Jag2","MGI:1098270","1","preweaning lethality, complete penetrance"
"Pbx3","MGI:97496","6","abnormal tooth morphology::preweaning lethality, complete penetrance::absent ovary::decreased total body fat amount::increased circulating bilirubin level::decreased blood urea nitrogen level"
"Man1b1","MGI:2684954","2","increased heart left ventricle size::preweaning lethality, incomplete penetrance"
"Snai2","MGI:1096393","2","enlarged heart::preweaning lethality, incomplete penetrance"
"L3mbtl3","MGI:2143628","7","preweaning lethality, complete penetrance::abnormal craniofacial morphology::increased circulating triglyceride level::edema::abnormal skin morphology::polydactyly::abnormal embryo size"
"L3mbtl2","MGI:2443584","2","preweaning lethality, complete penetrance::vertebral transformation"
"Ago3","MGI:2446634","1","increased grip strength"
"Snai3","MGI:1353563","1","preweaning lethality, incomplete penetrance"
"Ago1","MGI:2446630","1","preweaning lethality, incomplete penetrance"
"Nmt2","MGI:1202298","3","increased circulating alkaline phosphatase level::abnormal retina morphology::abnormal optic disk morphology"
"Samm50","MGI:1915903","3","abnormal tooth morphology::preweaning lethality, complete penetrance::impaired righting response"
"Kdm8","MGI:1924285","17","preweaning lethality, complete penetrance::abnormal retina blood vessel morphology::cataract::impaired pupillary reflex::abnormal behavior::abnormal retina vasculature morphology::irregularly shaped pupil::preweaning lethality, incomplete penetrance::increased circulating potassium level::abnormal optic disk morphology::abnormal iris morphology::embryonic lethality prior to tooth bud stage::mydriasis::corneal vascularization::abnormal lens morphology::fused cornea and lens::iris synechia"
"Gpbar1","MGI:2653863","6","enlarged heart::abnormal kidney morphology::abnormal testis morphology::small testis::abnormal lymph node morphology::abnormal heart morphology"
"Sprr1b","MGI:106659","1","decreased urine creatinine level"
"Sprr1a","MGI:106660","4","hyperactivity::decreased grip strength::corneal opacity::abnormal startle reflex"
"Ctbp1","MGI:1201685","1","preweaning lethality, complete penetrance"
"Sgms1","MGI:2444110","11","increased circulating creatinine level::increased circulating magnesium level::increased circulating alkaline phosphatase level::decreased mean corpuscular hemoglobin::increased grip strength::thrombocytopenia::tremors::decreased total body fat amount::increased lean body mass::male infertility::increased mean platelet volume"
"Ctbp2","MGI:1201686","8","preweaning lethality, complete penetrance::prenatal lethality prior to heart atrial septation::abnormal somite shape::edema::abnormal pericardium morphology::abnormal embryo turning::corneal opacity::abnormal heart morphology"
"Dpyd","MGI:2139667","4","abnormal epididymis morphology::hyperactivity::increased vertical activity::abnormal stomach morphology"
"Akr1b3","MGI:1353494","1","preweaning lethality, incomplete penetrance"
"Jak3","MGI:99928","12","enlarged spleen::decreased thigmotaxis::abnormal spleen morphology::hyperactivity::abnormal behavior::decreased exploration in new environment::decreased anxiety-related response::abnormal neural tube morphology::no spontaneous movement::preweaning lethality, incomplete penetrance::enlarged lymph nodes::abnormal lymph node morphology"
"Akr1b8","MGI:107673","2","increased grip strength::decreased fasting circulating glucose level"
"Slbp","MGI:108402","7","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::hyperactivity::increased mean corpuscular hemoglobin::increased circulating bilirubin level::increased circulating aspartate transaminase level::corneal opacity"
"Noc4l","MGI:2140843","4","preweaning lethality, complete penetrance::increased circulating alanine transaminase level::increased circulating aspartate transaminase level::embryonic lethality prior to organogenesis"
"Lin52","MGI:3045391","4","preweaning lethality, complete penetrance::increased mean corpuscular volume::decreased circulating glucose level::decreased circulating calcium level"
"Zfp746","MGI:1916478","3","increased lean body mass::decreased bone mineral density::increased total body fat amount"
"Hlcs","MGI:894646","4","preweaning lethality, complete penetrance::decreased circulating calcium level::decreased circulating phosphate level::embryonic lethality prior to organogenesis"
"Rassf8","MGI:1918573","6","enlarged heart::abnormal testis morphology::small testis::abnormal coat/ hair morphology::preweaning lethality, incomplete penetrance::abnormal heart morphology"
"Ncor2","MGI:1337080","9","preweaning lethality, complete penetrance::abnormal craniofacial morphology::abnormal placenta morphology::edema::embryonic growth retardation::abnormal blood vessel morphology::persistence of hyaloid vascular system::abnormal bone structure::abnormal placenta vasculature"
"Gpnmb","MGI:1934765","2","increased fasting circulating glucose level::increased hemoglobin content"
"Htt","MGI:96067","2","increased grip strength::embryonic lethality prior to organogenesis"
"Urm1","MGI:1915455","2","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage"
"Klkb1","MGI:102849","2","abnormal vocalization::abnormal lens morphology"
"Ifi27l2a","MGI:1924183","8","abnormal cornea morphology::increased circulating alkaline phosphatase level::abnormal retina blood vessel morphology::abnormal lens morphology::abnormal retina morphology::increased circulating bilirubin level::abnormal retina vasculature morphology::abnormal tail length"
"Shprh","MGI:1917581","4","cataract::decreased mean corpuscular hemoglobin concentration::enlarged thymus::abnormal skin morphology"
"Akr1d1","MGI:2384785","5","increased heart weight::hyperactivity::increased grip strength::persistence of hyaloid vascular system::decreased fasting circulating glucose level"
"Slurp1","MGI:1930923","1","decreased grip strength"
"Jam3","MGI:1933825","5","abnormal skeletal muscle morphology::abnormal sleep behavior::male infertility::preweaning lethality, incomplete penetrance::decreased fasting circulating glucose level"
"Jam2","MGI:1933820","4","increased heart weight::increased circulating sodium level::abnormal retina morphology::increased circulating potassium level"
"Smoc2","MGI:1929881","6","increased circulating phosphate level::decreased bone mineral content::increased circulating sodium level::decreased bone mineral density::abnormal bone structure::decreased body length"
"Cx3cl1","MGI:1097153","4","decreased vertical activity::decreased locomotor activity::decreased exploration in new environment::increased respiratory quotient"
"Smoc1","MGI:1929878","19","abnormal cranium morphology::atrophy/Eye with optic nerve - MPATH process term::decreased circulating iron level::abnormal gait::syndactyly::decreased lymphocyte cell number::short tibia::abnormal pelvic girdle bone morphology::abnormal digit morphology::abnormal head size::abnormal maxilla morphology::increased neutrophil cell number::preweaning lethality, incomplete penetrance::increased red blood cell distribution width::increased heart weight::abnormal snout morphology::increased large unstained cell number::decreased erythrocyte cell number::increased basophil cell number"
"Map7d1","MGI:2384297","3","preweaning lethality, complete penetrance::hyperactivity::increased grip strength"
"Timp1","MGI:98752","2","abnormal humerus morphology::abnormal femur morphology"
"Otulin","MGI:3577015","3","preweaning lethality, complete penetrance::prenatal lethality prior to heart atrial septation::abnormal spleen morphology"
"Nucb1","MGI:97388","20","enlarged spleen::abnormal liver morphology::abnormal spleen morphology::decreased bone mineral content::abnormal eye morphology::thrombocytopenia::abnormal seminal vesicle morphology::absent seminal vesicle::abnormal behavior::decreased heart weight::polycystic kidney::decreased bone mineral density::abnormal skin morphology::abnormal lymph node morphology::decreased thigmotaxis::enlarged seminal vesicle::small spleen::decreased anxiety-related response::small heart::abnormal heart morphology"
"Rad54l","MGI:894697","1","sclerocornea"
"Timp3","MGI:98754","3","abnormal retina blood vessel morphology::increased mean corpuscular volume::abnormal retina morphology"
"Timp2","MGI:98753","5","single kidney::increased CD5-positive Ly6C-positive T cell number::increased follicular B cell number::decreased total retina thickness::abnormal hindlimb morphology"
"Ifitm1","MGI:1915963","3","abnormal snout morphology::long tibia::increased lean body mass"
"Timp4","MGI:109125","7","increased startle reflex::small spleen::increased freezing behavior::abnormal skin morphology::small heart::abnormal heart morphology::absent optic nerve"
"Tead3","MGI:109241","5","increased circulating creatinine level::decreased circulating serum albumin level::increased circulating magnesium level::decreased bone trabecula number::increased bone trabecular spacing"
"Tead1","MGI:101876","10","abnormal tooth morphology::preweaning lethality, complete penetrance::abnormal eye anterior chamber depth::embryonic lethality prior to tooth bud stage::decreased prepulse inhibition::impaired glucose tolerance::abnormal embryo turning::decreased cornea thickness::increased total body fat amount::abnormal embryo size"
"Yy2","MGI:3837947","4","abnormal eye morphology::anophthalmia::enlarged lymph nodes::abnormal lymph node morphology"
"Tagap1","MGI:1919786","10","decreased circulating cholesterol level::enlarged spleen::microphthalmia::cataract::decreased prepulse inhibition::decreased circulating triglyceride level::enlarged kidney::increased blood urea nitrogen level::abnormal skin morphology::enlarged lymph nodes"
"Gid8","MGI:1923675","1","preweaning lethality, complete penetrance"
"Lgr5","MGI:1341817","8","preweaning lethality, complete penetrance::increased grip strength::increased CD4-negative, CD25-positive NK T cell number::increased CD8-positive, CD25-positive alpha-beta T cell number::increased CD11b-high dendritic cell number::cleft palate::no spontaneous movement::increased circulating bilirubin level"
"Lgr6","MGI:2441805","9","abnormal tooth morphology::abnormal thymus morphology::abnormal spleen morphology::enlarged heart::abnormal eye morphology::increased lymphocyte cell number::abnormal skin morphology::enlarged thymus::abnormal heart morphology"
"Gzf1","MGI:1921783","13","cataract::abnormal eye morphology::short tibia::decreased lean body mass::abnormal bone structure::abnormal skin morphology::preweaning lethality, incomplete penetrance::decreased circulating total protein level::decreased mean corpuscular volume::abnormal lens morphology::abnormal heartbeat::abnormal auditory brainstem response::decreased circulating alkaline phosphatase level"
"Nutm2","MGI:2685652","1","male infertility"
"Nutm1","MGI:2661384","6","increased red blood cell distribution width::decreased circulating serum albumin level::increased mean corpuscular hemoglobin::decreased total body fat amount::increased lean body mass::male infertility"
"Tom1","MGI:1338026","1","preweaning lethality, incomplete penetrance"
"Aebp1","MGI:1197012","4","preweaning lethality, complete penetrance::enlarged heart::abnormal tail morphology::abnormal heart morphology"
"Slc37a2","MGI:1929693","7","enlarged spleen::abnormal spleen morphology::cataract::enlarged testis::abnormal testis morphology::abnormal vitreous body morphology::abnormal lymph node morphology"
"Krtap7-1","MGI:1918613","7","abnormal thymus morphology::abnormal spleen morphology::enlarged heart::small spleen::abnormal digit morphology::enlarged thymus::abnormal heart morphology"
"Slc37a1","MGI:2446181","5","abnormal liver morphology::abnormal eye anterior chamber depth::increased circulating bilirubin level::increased total body fat amount::abnormal heart morphology"
"Fam207a","MGI:1916334","1","abnormal auditory brainstem response"
"Ifi208","MGI:2442822","5","abnormal spleen morphology::abnormal eye morphology::abnormal uterus morphology::small spleen::hydrometra"
"Rida","MGI:1095401","3","decreased circulating iron level::absent pinna reflex::decreased hematocrit"
"Ifi204","MGI:96429","1","enlarged heart"
"Crybb3","MGI:102717","2","enlarged epididymis::abnormal epididymis morphology"
"Virma","MGI:1913435","1","preweaning lethality, complete penetrance"
"Uap1","MGI:1334459","4","preweaning lethality, complete penetrance::cataract::abnormal lens morphology::embryonic lethality prior to organogenesis"
"S100a1","MGI:1338917","7","cataract::abnormal eye morphology::abnormal testis morphology::enlarged testis::anophthalmia::small testis::abnormal vitreous body morphology"
"Il3ra","MGI:96553","1","decreased mean corpuscular hemoglobin"
"Atp9a","MGI:1330826","2","hyperactivity::increased exploration in new environment"
"Nanos2","MGI:2676627","3","abnormal skin coloration::increased blood urea nitrogen level::male infertility"
"S100a6","MGI:1339467","2","increased vertical activity::preweaning lethality, incomplete penetrance"
"S100a3","MGI:1338849","5","abnormal spleen morphology::cataract::abnormal kidney morphology::small kidney::abnormal vitreous body morphology"
"Afg1l","MGI:2148801","4","increased heart weight::hyperactivity::abnormal coat/hair pigmentation::abnormal coat/ hair morphology"
"Hoxa10","MGI:96171","3","enlarged heart::increased bone mineral content::abnormal heart morphology"
"Rasgef1b","MGI:2443755","2","decreased thigmotaxis::abnormal behavior"
"Lrfn3","MGI:2442512","2","abnormal testis morphology::small testis"
"Rasgef1a","MGI:1917977","1","increased vertical activity"
"Lyplal1","MGI:2385115","6","eye hemorrhage::increased circulating alkaline phosphatase level::vertebral fusion::increased grip strength::decreased mean corpuscular volume::increased hematocrit"
"Dnm1l","MGI:1921256","6","abnormal cornea morphology::preweaning lethality, complete penetrance::abnormal vitreous body morphology::abnormal coat/ hair morphology::persistence of hyaloid vascular system::abnormal optic disk morphology"
"Eddm3b","MGI:2684921","4","abnormal iris pigmentation::dilated heart left ventricle::increased eosinophil cell number::increased basophil cell number"
"Vkorc1","MGI:106442","1","preweaning lethality, complete penetrance"
"Ndc80","MGI:1914302","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
"Alox15","MGI:87997","3","small superior vagus ganglion::hydrometra::persistence of hyaloid vascular system"
"Atp7a","MGI:99400","3","abnormal coat/hair pigmentation::abnormal vocalization::abnormal coat/ hair morphology"
"Defb43","MGI:3647180","2","thin ventricular wall::abnormal auditory brainstem response"
"Pcca","MGI:97499","1","preweaning lethality, incomplete penetrance"
"Pccb","MGI:1914154","3","preweaning lethality, complete penetrance::abnormal kidney morphology::polycystic kidney"
"Dupd1","MGI:3647127","1","hyperactivity"
"Syt17","MGI:104966","3","short tibia::decreased pulmonary ventilation::increased pulmonary respiratory rate"
"Nynrin","MGI:2652872","1","abnormal liver morphology"
"Cd276","MGI:2183926","3","hyperactivity::increased circulating total protein level::decreased mean corpuscular volume"
"Cyb5b","MGI:1913677","1","preweaning lethality, complete penetrance"
"Xndc1","MGI:5546359","1","fusion of vertebral arches"
"Nap1l5","MGI:1923555","1","absent vibrissae"
"Slc24a5","MGI:2677271","6","abnormal iris transillumination::increased grip strength::increased circulating sodium level::decreased prepulse inhibition::abnormal retina morphology::decreased fasting circulating glucose level"
"Atp5b","MGI:107801","5","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::decreased prepulse inhibition::hypoplasia/Skin - MPATH pathological process term::embryonic lethality prior to organogenesis"
"Slc24a4","MGI:2447362","9","increased circulating cholesterol level::increased circulating alkaline phosphatase level::increased circulating HDL cholesterol level::decreased red blood cell distribution width::decreased prepulse inhibition::process of degenerative change/Tooth - MPATH process term::preweaning lethality, incomplete penetrance::enlarged thymus::increased circulating fructosamine level"
"Dop1b","MGI:1917278","9","abnormal coat appearance::decreased circulating free fatty acids level::decreased circulating glycerol level::increased grip strength::increased bone mineral content::increased lean body mass::increased blood urea nitrogen level::increased bone mineral density::increased leukocyte cell number"
"Slc24a3","MGI:2137513","7","increased fluid intake::abnormal coat/hair pigmentation::increased grip strength::thrombocytopenia::increased lean body mass::decreased respiratory quotient::increased mean platelet volume"
"Aopep","MGI:1919311","4","increased circulating alkaline phosphatase level::decreased mean platelet volume::increased freezing behavior::abnormal urinary bladder morphology"
"Atp5d","MGI:1913293","1","preweaning lethality, complete penetrance"
"Psat1","MGI:2183441","1","preweaning lethality, complete penetrance"
"Dop1a","MGI:1289294","4","decreased mean corpuscular hemoglobin::small uterus::abnormal skin morphology::abnormal mammary gland morphology"
"Atp5e","MGI:1855697","4","increased red blood cell distribution width::preweaning lethality, complete penetrance::prenatal lethality prior to heart atrial septation::embryonic lethality prior to organogenesis"
"Scrn3","MGI:1921866","1","increased grip strength"
"Defb14","MGI:2675345","5","decreased circulating glycerol level::increased grip strength::increased bone mineral content::increased bone mineral density::increased mean platelet volume"
"Ppil3","MGI:1917475","5","increased circulating cholesterol level::increased circulating HDL cholesterol level::increased circulating free fatty acids level::abnormal bone structure::absent pinna reflex"
"Cd248","MGI:1917695","4","increased circulating insulin level::abnormal testis morphology::abnormal skin morphology::decreased body length"
"Cnppd1","MGI:1916421","2","decreased mean corpuscular hemoglobin::increased leukocyte cell number"
"Defb20","MGI:2442320","2","male infertility::decreased fasting circulating glucose level"
"Ppil1","MGI:1916066","9","preweaning lethality, complete penetrance::increased circulating creatinine level::abnormal kidney morphology::increased startle reflex::small kidney::small spleen::polycystic kidney::abnormal skin morphology::embryonic lethality prior to organogenesis"
